285,Широківська територіальна громада,Громада,UA1206029
311,Маломихайлівська територіальна громада,Громада,UA1214013
313,Миколаївська територіальна громада,Громада,UA1214017
314,Новопавлівська територіальна громада,Громада,UA1214019
322,Слов'янська територіальна громада,Громада,UA1214035
415,м. Горлівка та Горлівська міська громада,Громада,UA1406003
412,Новоазовська міська громада,Громада,UA1410007
377,Миколаївська територіальна громада,Громада,UA1412013
379,Олександрівська територіальна громада,Громада,UA1412017
250,Сереховичівська територіальна громада,Громада,UA0706037
211,Калинівська територіальна громада,Громада,UA0512007
210,Іванівська територіальна громада,Громада,UA0512005
336,Миколаївська територіальна громада,Громада,UA1202009
338,Новоолександрівська територіальна громада,Громада,UA1202013
339,Новопокровська територіальна громада,Громада,UA1202015
343,Святовасилівська територіальна громада,Громада,UA1202023
296,Вишнівська територіальна громада,Громада,UA1204007
303,П'ятихатська територіальна громада,Громада,UA1204021
281,Нивотрудівська територіальна громада,Громада,UA1206021
381,м. Слов'янськ та Слов'янська територіальна громада,Громада,UA1412021
604,Веселівська територіальна громада,Громада,UA2308001
613,Олександрівська територіальна громада,Громада,UA2308019
615,Приазовська територіальна громада,Громада,UA2308023
618,Чкаловська територіальна громада,Громада,UA2308029
619,Якимівська територіальна громада,Громада,UA2308031
252,Старовижівська територіальна громада,Громада,UA0706041
253,Турійська територіальна громада,Громада,UA0706043
254,м. Шацьк та Шацька територіальна громада,Громада,UA0706045
217,Берестечківська територіальна громада,Громада,UA0708001
218,Боратинська територіальна громада,Громада,UA0708003
219,Городищенська територіальна громада,Громада,UA0708005
220,Горохівська територіальна громада,Громада,UA0708007
221,Доросинівська територіальна громада,Громада,UA0708009
223,Колківська територіальна громада,Громада,UA0708013
224,Копачівська територіальна громада,Громада,UA0708015
222,Ківерцівська територіальна громада,Громада,UA0708011
225,м. Луцьк та Луцька територіальна громада,Громада,UA0708017
226,Мар'янівська територіальна громада,Громада,UA0708019
228,Підгайцівська територіальна громада,Громада,UA0708023
229,Рожищенська територіальна громада,Громада,UA0708025
230,Торчинська територіальна громада,Громада,UA0708027
231,Цуманська територіальна громада,Громада,UA0708029
154,Агрономічна територіальна громада,Громада,UA0502001
156,Вороновицька територіальна громада,Громада,UA0502005
157,Гніванська територіальна громада,Громада,UA0502007
159,Липовецька територіальна громада,Громада,UA0502011
161,Лука-Мелешківська територіальна громада,Громада,UA0502015
160,Літинська територіальна громада,Громада,UA0502013
162,Немирівська територіальна громада,Громада,UA0502017
163,Оратівська територіальна громада,Громада,UA0502019
164,Погребищенська територіальна громада,Громада,UA0502021
165,Стрижавська територіальна громада,Громада,UA0502023
166,Сутисківська територіальна громада,Громада,UA0502025
167,Тиврівська територіальна громада,Громада,UA0502027
168,Турбівська територіальна громада,Громада,UA0502029
169,Якушинецька територіальна громада,Громада,UA0502031
158,Іллінецька територіальна громада,Громада,UA0502009
185,Бершадська територіальна громада,Громада,UA0504001
186,Гайсинська територіальна громада,Громада,UA0504003
187,Дашівська територіальна громада,Громада,UA0504005
188,Джулинська територіальна громада,Громада,UA0504007
189,Краснопільська територіальна громада,Громада,UA0504009
190,Кунківська територіальна громада,Громада,UA0504011
191,м. Ладижин та Ладижинська територіальна громада,Громада,UA0504013
192,Ободівська територіальна громада,Громада,UA0504015
193,Ольгопільська територіальна громада,Громада,UA0504017
194,Райгородська територіальна громада,Громада,UA0504019
195,Соболівська територіальна громада,Громада,UA0504021
